DATE,revenue,search_S,meta_S,tiktok_S,youtube_S,display_S,competitor_sales,events,newsletter
2023-04-24,523439.09,11863.77,35912.14,19135.77,0.0,15043.9,97815.81,0,5266.15
2023-05-01,552403.6,34672.17,34639.38,39385.8,12272.29,16907.7,100238.05,0,1539.05
2023-05-08,596479.46,29306.12,78380.63,37013.0,20717.4,6341.53,109917.0,0,3914.19
2023-05-15,558696.96,14967.89,43585.86,45711.52,31763.71,19999.21,100657.96,0,5457.12
2023-05-22,550325.64,10138.05,73522.79,40727.49,23318.6,9198.11,107861.06,0,5106.09
2023-05-29,570846.86,30386.54,57868.32,43121.83,0.0,22961.09,105596.26,0,6039.99
2023-06-05,522814.83,27671.43,67688.68,24871.21,9630.88,9102.79,107885.33,0,4218.53
2023-06-12,531383.22,28225.18,50158.23,21210.38,9630.88,8813.75,110789.08,0,5353.94
2023-06-19,532178.95,29281.76,54614.23,41271.52,0.0,5730.99,116747.29,0,3612.25
2023-06-26,535040.11,11851.12,49551.06,43239.22,6554.71,14441.34,112629.69,0,2544.45
2023-07-03,551287.19,18961.64,31714.58,49667.68,21652.83,16296.82,127755.17,0,4622.15
2023-07-10,570877.01,12896.73,63347.13,29441.62,15098.13,6314.17,111543.47,0,2077.7
2023-07-17,568736.81,31577.59,36846.34,28020.63,6901.25,20510.55,117923.86,0,1490.57
2023-07-24,550969.2,25582.45,21458.96,42174.45,6901.25,14065.78,116336.33,0,3663.82
2023-07-31,576749.93,18272.45,58728.34,26928.12,14670.62,15487.81,131575.82,0,6081.48
2023-08-07,568948.72,11588.96,30626.64,47576.51,14670.62,13815.25,121426.62,0,5682.64
2023-08-14,585398.96,17774.56,76427.52,45044.45,0.0,13015.26,127673.59,0,1774.4
2023-08-21,575822.35,18129.58,77235.71,30014.79,0.0,16192.81,106815.84,0,1975.57
2023-08-28,575526.76,28240.15,74891.86,41280.49,0.0,8104.8,119845.52,0,1975.57
2023-09-04,585619.0,25938.94,42209.52,41409.0,22869.16,8638.56,123576.72,0,1392.62
2023-09-11,560739.29,32180.32,20927.4,18609.34,42016.45,22235.71,115628.49,0,5302.08
2023-09-18,663718.12,21805.37,75699.11,46589.35,36502.51,23922.31,121786.3,0,6270.83
2023-09-25,596160.22,12989.86,45691.05,32683.83,17355.23,12466.19,107222.99,0,4069.52
2023-10-02,644423.75,27831.12,77999.29,43926.01,0.0,10414.89,120569.24,0,2928.64
2023-10-09,646257.95,29019.63,77817.2,26201.74,0.0,17879.99,125483.28,0,1220.49
2023-10-16,710476.93,24031.93,71180.57,46343.31,33950.81,13174.68,101883.6,0,2559.32
2023-10-23,680141.04,29274.18,37666.93,28622.06,42679.72,5507.73,98846.71,0,2559.32
2023-10-30,678124.43,22344.89,43105.86,15379.32,35654.94,8123.05,111627.08,0,3486.65
2023-11-06,704968.2,23068.32,71068.2,46688.37,60076.24,19319.44,110225.84,0,3486.65
2023-11-13,675073.89,20688.53,39015.32,18195.03,33150.21,18178.48,91030.81,0,0.0
2023-11-20,647679.37,10635.48,30169.56,26175.98,6994.89,5541.92,89546.41,1,0.0
2023-11-27,683887.83,12697.29,53408.08,48252.17,34228.51,9439.44,88451.26,0,0.0
2023-12-04,651242.08,10785.73,76169.29,48271.25,27233.62,9621.5,77883.1,0,0.0
2023-12-11,697714.59,25910.26,61761.79,35070.33,30254.86,18437.85,79388.33,0,1502.86
2023-12-18,730840.62,17858.9,54203.67,37114.3,39448.03,5394.21,76996.66,1,2612.87
2023-12-25,663239.35,22714.27,25830.59,30695.59,9193.17,7082.17,77397.94,0,4319.22
2024-01-01,686150.51,32689.16,56900.43,25262.38,11048.82,20998.32,82013.4,0,3209.21
2024-01-08,686071.46,16232.31,79403.23,26503.26,11048.82,8570.89,83173.39,0,2423.89
2024-01-15,671241.84,20259.57,28405.04,38538.15,0.0,18054.92,92985.17,0,2423.89
2024-01-22,681221.5,28888.78,51099.78,41333.11,0.0,9763.66,72158.99,0,3417.01
2024-01-29,713243.1,15719.95,72642.38,42705.27,24955.92,6988.83,87874.58,0,6173.07
2024-02-05,716587.45,11924.5,64446.12,42636.63,24955.92,9863.44,78433.91,0,6360.88
2024-02-12,655084.51,17243.79,61820.94,18192.21,15764.91,19445.34,80185.45,0,5222.34
2024-02-19,643457.8,14030.53,62149.05,32304.71,47080.93,22113.93,86698.23,0,2953.28
2024-02-26,651775.86,33242.44,41569.47,17014.56,48089.37,21604.4,73309.1,0,3145.01
2024-03-04,676305.69,30203.01,37615.51,34233.51,16773.35,12943.67,86599.6,0,2980.51
2024-03-11,635045.31,25835.09,68561.67,30453.57,18174.05,18361.7,86361.4,0,3764.77
2024-03-18,689205.14,31786.51,68606.8,46069.65,34482.38,9099.69,90677.16,0,6403.33
2024-03-25,677173.09,30091.8,72024.34,27282.03,16308.33,10862.95,90952.05,0,4927.85
2024-04-01,616843.9,14664.25,74794.43,19097.35,14041.34,22926.72,110347.94,0,1118.03
2024-04-08,643772.24,32313.97,50680.54,20004.71,41469.62,5260.04,87805.98,0,2356.6
2024-04-15,672843.25,23483.56,50090.98,41652.87,47509.89,6710.17,90965.71,0,6158.22
2024-04-22,658031.36,30186.0,67897.71,36637.63,32047.99,9157.73,92604.14,0,5750.09
2024-04-29,637703.62,32402.28,58997.84,18539.29,43953.62,5530.64,95556.18,0,4470.17
2024-05-06,604587.1,17950.09,62118.01,17943.74,48503.97,8628.71,97311.64,0,3646.42
2024-05-13,594149.22,12751.3,67747.56,39533.92,16516.74,16660.83,114298.45,0,2569.75
2024-05-20,578435.58,15698.38,73400.32,17546.71,32194.16,13428.49,118456.13,0,5404.92
2024-05-27,584631.66,20677.69,40279.71,43765.1,55921.3,22853.43,104728.49,0,7855.25
2024-06-03,601241.38,30450.37,42534.98,39718.48,23727.14,21348.87,104702.45,0,4910.18
2024-06-10,548298.55,31518.26,25638.92,17847.21,33194.96,11836.35,117033.78,0,1014.82
2024-06-17,544293.61,10173.8,54696.81,17969.32,33194.96,10188.47,110552.43,0,0.0
2024-06-24,546181.07,22768.68,22156.54,49532.39,15047.17,12593.85,121523.13,0,3603.75
2024-07-01,591572.6,20435.28,47935.88,28099.48,24225.33,16805.9,119332.5,0,5967.97
2024-07-08,607480.65,15552.7,52558.68,27972.48,37998.92,10361.27,106574.37,0,4911.01
2024-07-15,577757.42,12996.63,37192.48,43447.98,52422.94,17482.98,131798.88,0,5013.33
2024-07-22,643492.4,18440.38,55450.0,48153.7,44606.02,13188.23,134221.2,0,2466.54
2024-07-29,661299.65,33572.74,21830.01,49510.04,52820.61,16040.94,115097.69,0,1418.95
2024-08-05,596772.5,18080.07,22240.89,41368.24,60474.69,13722.53,116752.57,0,2508.87
2024-08-12,664913.88,22969.77,69356.03,28169.09,38208.16,10889.32,121705.76,0,3013.71
2024-08-19,628841.89,27575.47,41611.44,17922.53,23901.91,23969.07,121375.98,0,1923.79
2024-08-26,602930.67,19090.74,27623.63,42200.14,26806.34,20272.12,122977.47,0,1605.56
2024-09-02,643097.27,34294.55,51334.6,34544.15,39773.06,7802.26,132541.31,0,4625.86
2024-09-09,676260.37,34061.18,66199.61,29847.77,33324.36,22369.36,113554.64,0,6930.03
2024-09-16,640689.11,16294.56,32949.26,46722.4,6005.97,14748.62,106876.08,0,5191.44
2024-09-23,663228.97,22431.21,57373.43,18891.91,27873.76,22891.04,100326.74,0,4299.51
2024-09-30,636995.03,17521.96,25120.85,32241.88,27873.76,20997.11,103447.02,0,5349.06
2024-10-07,619323.67,17121.01,23100.9,15397.38,0.0,13504.27,106827.08,0,5935.68
2024-10-14,637094.03,10922.17,51881.28,31403.12,29637.72,5449.39,119142.78,0,5135.88
2024-10-21,693326.44,25239.11,52438.11,16970.61,29637.72,10373.55,98269.84,0,4609.33
2024-10-28,682739.71,22566.98,58245.79,19158.63,0.0,15832.68,101790.3,0,6592.22
2024-11-04,665814.74,11286.97,63565.48,19113.42,8824.66,17669.56,97457.88,0,7348.19
2024-11-11,734976.04,16966.16,78551.12,37722.36,25743.28,10157.75,104720.83,0,6883.59
2024-11-18,785772.41,32706.65,50978.02,41111.57,16918.62,7787.12,113123.36,1,3049.74
2024-11-25,694076.9,15989.05,39377.39,35417.91,0.0,21698.6,86458.59,0,2853.54
2024-12-02,685049.22,13622.37,67711.17,48676.04,11877.54,24688.04,84723.19,0,6460.26
2024-12-09,696789.44,22236.32,36249.94,28120.47,38545.12,15513.8,95090.83,0,6318.54
2024-12-16,777504.19,34641.26,46338.29,24999.92,53268.67,8433.59,90484.92,1,3802.99
2024-12-23,703405.91,16051.38,24707.38,45400.97,50835.53,10446.15,98313.98,0,1091.16
